gameIndex,winner,gameDuration,score0,score1,id,className,team,role,dmgType,kills,deaths,assists,kda,dmgDealtTotal,dmgDealtToHeroes,dmgTaken,hpHealed,dpsToHeroes,hpsHealed,maxBurst1s,maxBurst3s,spellCastsQ,spellCastsE,level,gold,totalGold,goldPerMin,timeAlive,timeDead,survivalRate,killsPerMin,dmgEfficiency,items
0,0,247,151,5,bot0_1,Eggchanter,0,SUPPORT,magical,1,1,15,16,3390,1956,2132,3129,8.3,13.3,141,183,19,10,9,328,2453,597,236,11,0.957,0.2,0.92,"special_gw;basic_hp;basic_mr;basic_hp;basic_mr;basic_power;basic_hp"
0,0,247,151,5,bot1_1,Jirina,1,FIGHTER,magical,1,4,3,1,7406,2743,5805,1693,12.4,7.6,278,356,24,10,8,137,1937,471,222,24,0.901,0.2,0.47,"special_lifesteal;special_gw;basic_power;basic_hp;basic_armor"
0,0,247,151,5,bot0_2,Ironclad,0,TANK,physical,1,1,16,17,6072,4786,5906,0,20.2,0,257,405,24,17,9,76,2551,621,237,10,0.96,0.2,0.81,"basic_hp;basic_hp;basic_mr;basic_power;basic_as;basic_hp;basic_mr;basic_hp;basic_mr"
0,0,247,151,5,bot1_2,Summoner,1,MAGE,magical,3,6,2,0.83,4626,3167,5974,98,17.5,0.5,173,235,24,13,8,87,2187,532,181,66,0.733,0.7,0.53,"special_lifesteal;basic_power;basic_power;basic_hp;basic_haste;basic_power;basic_armor"
0,0,247,151,5,bot0_3,Wanderer,0,SLAYER,physical,8,1,7,15,14779,7505,3470,396,32.2,1.7,573,751,20,15,10,36,3211,782,233,14,0.944,1.9,2.16,"special_lifesteal;basic_power;basic_power;basic_power;basic_hp;basic_as;basic_mr;basic_hp;basic_as;basic_mr;basic_haste"
0,0,247,151,5,bot1_3,Hana,1,TANK,magical,1,5,4,1,6305,3449,7249,0,17.8,0,283,672,5,24,8,183,2008,489,194,53,0.786,0.2,0.48,"basic_hp;basic_hp;basic_hp;basic_armor;basic_mr;basic_haste;basic_power"
0,0,247,151,5,bot0_4,Lynx,0,SLAYER,physical,9,2,7,8,11639,8265,3690,381,37.7,1.7,538,1068,39,25,10,178,3278,798,219,27,0.889,2.2,2.24,"special_lifesteal;basic_power;basic_as;basic_power;basic_power;basic_power;basic_as;basic_as;basic_power;basic_hp"
0,0,247,151,5,bot1_4,Zephyr,1,SPLITPUSHER,magical,0,4,5,1.25,5806,2157,5241,132,11.1,0.7,285,431,21,19,8,144,1944,473,194,53,0.786,0,0.41,"special_lifesteal;basic_power;basic_hp;basic_power;basic_armor;basic_haste"
1,1,303,0,151,bot0_1,Ironclad,0,TANK,physical,0,5,0,0,5507,3367,9213,0,13.9,0,384,522,22,15,7,120,1770,350,242,61,0.797,0,0.37,"basic_hp;basic_hp;basic_hp;basic_mr;basic_armor;basic_hp"
1,1,303,0,151,bot1_1,Kratoma,1,SLAYER,physical,4,0,15,19,10198,6722,3115,262,22.2,0.9,278,533,22,25,10,183,3108,615,303,0,1,0.8,2.16,"special_lifesteal;special_gw;basic_power;basic_power;basic_hp;basic_hp;basic_as;basic_hp;basic_as"
1,1,303,0,151,bot0_2,Goliath,0,TANK,physical,0,5,0,0,5562,3397,9418,821,13.9,3.4,383,468,31,13,7,114,1764,349,244,60,0.804,0,0.36,"basic_hp;basic_hp;basic_hp;basic_mr;basic_hp;basic_armor"
