className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Ironclad,24,13,11,54.2,3.21,3,7,3.21,3,7,12.71,15,21,9.24,7.67,24,8867.54,8982,19837,6201.79,6007,15245,11117.29,11634,21957,0,0,0,17.96,18.2,28.8,0,0,0,336.46,351,499,452.58,477,655,33.88,32,53,24.17,24,45,10.21,11,13,146.13,165,264,3234.67,3411,5035,528.63,538,735,329.25,328,530,41.88,43,90,0.89,0.891,1,0.51,0.5,1.4,0.62,0.63,1.16
Vanguard,23,6,17,26.1,3,2,11,4.74,5,8,9.13,10,22,3.35,2.17,16,13049.09,11540,24973,6557,6167,13252,10065.57,8916,19528,44.22,0,403,19.37,19.3,28,0.13,0,0.8,449.26,460,647,591.39,567,858,48.91,48,84,30.96,29,52,9.91,10,14,158.52,168,290,3068.3,2742,5370,479.57,464,627,321.26,320,505,58.26,55,119,0.84,0.837,0.969,0.44,0.4,1.2,0.65,0.59,1.05
Doctor,24,15,9,62.5,3,2,9,3.46,4,9,12.5,14,24,8.77,6.67,26,6362.25,6269,14445,4579.75,4464,9641,8816,8907,17548,7344.75,6085,15126,14.5,15.6,21.7,23.13,23.3,40.6,201.17,207,355,301.75,301,480,19.67,19,42,19.25,19,36,9.75,10,14,165.08,188,378,3034.88,2925,5438,544.67,571,732,300.5,294,567,36.25,39,83,0.89,0.917,1,0.52,0.5,1.3,0.56,0.55,1.1
Hana,26,15,11,57.7,3.31,4,8,3.92,4,10,10.88,12,23,6.19,4.4,19,11903.15,10425,26734,7414.08,6490,19685,10316.35,10440,20907,0,0,0,22.11,21.5,41.5,0,0,0,437.08,418,856,724.27,736,1111,14.85,14,28,37.31,35,64,9.77,10,14,137,152,319,3123.54,3088,5221,514.12,504,705,315.42,322,530,50.19,52,149,0.87,0.883,1,0.53,0.5,1.3,0.73,0.76,1.39
Quiller,17,10,7,58.8,6.35,5,19,3.35,4,7,8.24,10,17,9.28,6,29,16015.18,14483,28637,8760.29,8245,18680,4798.29,4829,8866,526.53,440,932,30.36,29.3,54.5,1.84,1.7,3.6,294.94,298,376,561.35,578,792,40.41,43,61,24.06,24,40,9.94,10,13,158.82,137,407,3263.24,3530,5017,605.24,620,842,280.12,280,444,44,50,97,0.86,0.87,1,1.15,1,3.2,2.16,1.83,4.62
Mage,9,4,5,44.4,5.33,6,9,3.89,4,9,8.33,10,14,8.31,2.17,23,16057.33,16338,24285,8687.22,8721,13580,5831.11,4770,9929,431.78,444,708,30.49,28.7,44.8,1.53,1.5,2.3,510.89,513,663,701.22,717,845,59.33,66,81,21.44,22,33,10.22,11,12,188.67,173,328,3199.78,3416,4034,592.22,558,816,276.89,299,329,49.44,49,113,0.86,0.802,1,1,0.9,2,1.79,1.37,3.39
Fusilier,20,15,5,75,8.15,8,18,3.5,3,9,11.15,13,21,10.19,9,26,19938.75,19965,33628,12061.7,12181,21437,5792.1,5859,12324,572.85,585,1108,40.01,40.4,53.6,1.94,2.1,2.5,410,413,572,736.1,748,909,47.4,47,79,15.65,16,27,10.85,11,15,158.2,134,351,3791.95,3773,6304,682.05,727,905,297.65,285,480,45.45,44,136,0.88,0.883,1,1.49,1.6,3.2,2.83,2.43,11.1
Kratoma,22,12,10,54.5,5.55,5,13,4,4,8,9.5,9,20,7.61,6.25,23,13308.55,12630,33631,8097.5,7700,19939,6632.82,6647,11686,302.36,310,940,27.85,26.7,43,1.05,1.1,2,305.91,295,467,583.32,586,881,21.77,22,38,21.09,21,43,9.86,10,13,153.86,152,390,3255,3376,5418,606.59,615,959,280.91,279,464,49.41,58,119,0.86,0.878,1,1.06,1,3.3,1.44,1.35,3.07
Healer,22,9,13,40.9,2.68,3,8,3.91,5,7,10.45,11,22,7.59,3.5,25,8066.45,8639,15108,5250.5,5300,8906,8461.36,7656,17875,5975.32,5431,18244,17.3,17.8,23.3,18.86,17.6,38.6,152.45,149,188,206.77,202,245,48.86,52,84,18.45,16,38,9.77,10,13,166.95,203,384,2956.73,2936,4872,513.59,515,722,296.5,305,473,47.32,56,95,0.86,0.835,1,0.42,0.5,0.9,0.71,0.61,1.45
Lynx,18,9,9,50,5.78,6,12,4.33,5,10,6.94,8,18,7.22,4,24,13946,14814,28906,8482.5,8629,15658,6424.5,5820,13972,329.44,319,758,28.95,32.3,51.4,1.12,1.2,2.6,478.22,449,747,799.33,777,1251,45.89,49,80,35.83,36,60,9.83,10,13,114.39,101,255,3157.44,3361,4541,582.17,544,897,276.56,274,453,51.33,61,115,0.84,0.843,1,1.07,1,2.6,1.48,1.71,2.96
Jailer,25,13,12,52,3.64,4,8,3.84,4,7,9.92,12,20,6.79,4.8,21,10897.4,10161,24711,7057.84,7128,13285,8185.32,8087,19244,0,0,0,23.71,23.6,39.1,0,0,0,434.56,413,640,569.16,567,806,27.12,26,54,23.64,24,47,9.6,10,13,163.88,173,314,2990.88,2986,4962,544.96,524,757,287.68,282,458,45.72,48,110,0.87,0.867,1,0.65,0.7,1.5,1.05,0.88,3.27
Pyromancer,18,7,11,38.9,2.61,2,8,4.83,5,8,10.72,12,24,4.87,1.8,23,11778.72,11336,18885,6646.17,6967,10596,6648.78,7504,10116,185.33,174,319,20.98,22.6,27,0.59,0.6,1,466.06,426,732,673.94,674,963,27.78,26,45,21.11,20,34,9.94,10,13,168.33,177,304,3058.61,2954,4415,500.06,464,743,307.94,290,459,65.33,74,116,0.83,0.822,1,0.45,0.4,1.6,1.15,1.03,2.75
Reaper,9,2,7,22.2,3.44,3,10,5.22,6,7,6,3,20,3.59,1,21,12820.44,9822,33008,8208.78,6647,21524,7764,7223,13030,362.33,267,964,27.6,24.9,40.3,1.23,1.2,1.8,543.11,492,792,895.78,835,1459,32.22,26,72,16.89,13,35,9.33,9,13,162.11,158,279,2834.33,2559,5187,494,451,837,279.78,264,534,67.22,79,96,0.81,0.771,1,0.59,0.5,2.3,1.08,0.71,2.53
Wanderer,10,4,6,40,3.9,4,9,4.8,6,8,11,15,18,6.07,3.67,21,18715.3,20769,31358,11875.1,12039,18583,7600.8,7942,12684,365.5,374,610,39.69,41.4,52.1,1.25,1.1,2,686.7,844,924,1293.4,1171,2160,22.1,23,31,17.6,20,29,10.2,11,13,158.3,156,262,3218.3,3475,4805,556.2,546,733,289,317,432,61.2,77,110,0.83,0.817,1,0.65,0.7,1.6,1.74,1.64,3.47
Jirina,20,14,6,70,4.35,4,10,2.75,3,7,11,12,26,10.82,9.5,26,13077.55,13514,27100,7900.8,7777,16073,7892.2,7768,12997,3978.95,3302,7419,23.77,24.1,34.8,11.96,12.8,18.9,393.5,390,545,516.85,522,739,41.1,43,65,15.3,16,27,10,11,14,149.75,129,293,3241,3579,5062,559.75,599,837,318.2,317,498,28.4,17,102,0.92,0.963,1,0.74,0.7,1.9,1.1,1.24,2.24
Cleric,12,5,7,41.7,2.58,1,9,4.5,6,7,11.67,13,20,5.98,4,19,8528.17,7895,14658,5557.08,4363,9943,8393.83,7844,15831,6220.67,6607,14422,17.29,18.7,22.7,18.21,19.4,28.1,287,298,320,344.92,349,378,47.17,49,84,37.67,39,61,10.25,11,13,125.58,144,320,3102.67,3268,4971,507.83,513,610,316.5,312,529,48.83,63,87,0.86,0.859,1,0.36,0.2,1,0.78,0.63,1.82
