className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Reaper,2,0,2,0,0,0,0,2.5,5,5,1,2,2,0.2,0.4,0.4,2134.5,4269,4269,1669.5,3339,3339,3554,7108,7108,72,144,144,7.25,14.5,14.5,0.3,0.6,0.6,173,346,346,279,558,558,9.5,19,19,5.5,11,11,4,7,7,411.5,600,600,1199,1798,1798,30185.5,60000,60000,115.5,231,231,29.5,59,59,0.41,0.795,0.795,0,0,0,0.24,0.47,0.47
Quiller,3,2,1,66.7,3,0,9,0.33,0,1,5.33,0,16,8.33,0,25,6253,0,18759,4027.67,0,12083,1266.67,0,3800,216,0,648,14.23,0,42.7,0.77,0,2.3,106.67,0,320,244,0,732,15.33,0,46,8.67,0,26,4.33,1,11,422,600,600,1680.33,600,3841,40264.33,60000,60000,94.33,0,283,2.67,0,8,0.34,0.017,0.974,0.63,0,1.9,1.06,0,3.18
Jailer,4,1,3,25,0.5,0,2,1.5,0,6,0.25,0,1,0.13,0,0.5,2081.5,0,8326,1147,0,4588,2591.25,0,10365,0,0,0,4.55,0,18.2,0,0,0,118.5,0,474,144.25,0,577,5.75,0,23,5.25,0,21,2.75,1,8,474.75,600,600,981,600,2124,45109.75,60000,60000,63,0,252,9.5,0,38,0.23,0.017,0.869,0.1,0,0.4,0.11,0,0.44
Pyromancer,3,2,1,66.7,1.67,0,5,0.33,0,1,5.67,0,17,7.33,0,22,3993.33,0,11980,1811,0,5433,1121.67,0,3365,73.33,0,220,6.47,0,19.4,0.27,0,0.8,198.33,0,595,198.33,0,595,9.67,0,29,7.67,0,23,4,1,10,403,600,600,1519.67,600,3359,40231.33,60000,60000,93.33,0,280,3.67,0,11,0.33,0.017,0.963,0.33,0,1,0.54,0,1.61
Volstrov,4,1,3,25,0,0,0,1.75,0,7,0.75,0,3,0.11,0,0.43,2449,0,9796,1208.75,0,4835,1688,0,6752,47.25,0,189,5.18,0,20.7,0.2,0,0.8,53,0,212,101,0,404,4.25,0,17,3.75,0,15,2.75,1,8,494.5,600,600,957,600,2028,45104.75,60000,60000,58.5,0,234,14.25,0,57,0.21,0.017,0.804,0,0,0,0.18,0,0.72
Vanguard,3,2,1,66.7,2,0,6,0.33,0,1,6,0,18,8,0,24,4108.33,0,12325,2600,0,7800,2032.67,0,6098,0,0,0,9.33,0,28,0,0,0,132,0,396,211.67,0,635,14,0,42,11,0,33,4,1,10,415.67,600,600,1582.33,600,3547,40244.33,60000,60000,93,0,279,4,0,12,0.33,0.017,0.96,0.4,0,1.2,0.43,0,1.28
Healer,2,1,1,50,0.5,1,1,4,8,8,1,2,2,0.19,0.38,0.38,2587.5,5175,5175,2012.5,4025,4025,4597,9194,9194,993.5,1987,1987,10.2,20.4,20.4,5.05,10.1,10.1,65.5,131,131,95.5,191,191,13,26,26,7.5,15,15,4,7,7,357,600,600,1282,1964,1964,30203,60000,60000,98.5,197,197,47,94,94,0.35,0.678,0.678,0.1,0.2,0.2,0.22,0.44,0.44
Doctor,3,2,1,66.7,2,0,6,0,0,0,5,0,15,7,0,21,2386,0,7158,2034.67,0,6104,2130.67,0,6392,3394.67,0,10184,7,0,21,11.7,0,35.1,83,0,249,111.33,0,334,7.67,0,23,8,0,24,4,1,10,436.67,600,600,1528.33,600,3385,40233,60000,60000,96.67,0,290,0,0,0,0.34,0.017,1,0.4,0,1.2,0.32,0,0.95
Fusilier,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,600,600,600,600,600,600,60000,60000,60000,0,0,0,0,0,0,0.02,0.017,0.017,0,0,0,0,0,0
Eggchanter,3,2,1,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,600,600,600,600,600,600,60000,60000,60000,0,0,0,0,0,0,0.02,0.017,0.017,0,0,0,0,0,0
