className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Oracle,34,19,15,55.9,3.82,4,11,4.09,4,9,10.21,12,22,7.43,5.67,26,11654.47,11011,21917,6173,6015,10920,6903.29,6350,13573,269.32,260,704,20.41,20.5,30.8,0.88,0.9,1.8,409.94,411,597,536.56,561,733,20.18,21,31,19.94,21,31,10.21,10,13,147.44,147,323,3148.18,3233,4419,553.56,566,770,291.29,295,392,50.68,55,111,0.85,0.856,1,0.67,0.6,2,1.03,0.8,2.28
Lynx,31,21,10,67.7,7.77,8,21,3.39,3,9,9.48,10,19,10.74,6.33,34,16233.06,13576,33931,9341.1,7896,22649,6382,5454,13720,289.87,264,953,32.16,29.4,66.3,1.02,1.2,3,525.45,448,1176,894.55,768,1818,49.13,48,90,35.87,35,74,10.26,10,13,142.94,132,333,3501,3546,5062,658.9,683,969,278.65,269,482,43.13,40,118,0.87,0.873,1,1.47,1.4,4,1.8,1.59,6.18
Mage,40,16,24,40,4.08,4,11,5.28,6,9,9.05,9,21,4.82,2,25,14855.13,13944,25523,7308.68,7456,15933,7394.53,7595,13476,317.8,260,1105,24.16,25.5,38.7,1.05,1.1,2.7,543.75,552,880,663.58,653,1012,54.55,56,106,21.13,21,37,10.25,10,13,153.68,155,334,3211.18,3167,5103,544.08,534,748,287.15,286,462,65.08,76,122,0.81,0.779,1,0.67,0.6,1.6,1.17,0.85,3.19
Quiller,35,13,22,37.1,4.46,5,14,4.77,6,9,8.29,7,21,6.62,1.75,26,12347.51,12021,21778,6756.37,6657,11873,6199.37,6094,11765,368.89,341,717,23.32,23.2,39.5,1.29,1.3,2.3,269.91,268,420,487.74,479,722,36.91,37,56,23.4,24,34,9.77,10,12,150.09,150,426,3069.37,3016,4490,552.97,501,881,281.14,282,399,55.31,58,107,0.84,0.834,1,0.8,0.7,2.9,1.42,1.01,7.49
Jailer,31,20,11,64.5,4.06,3,11,3.32,3,7,12.06,13,21,9.34,7.67,23,12587.68,11036,25940,7618.1,7215,13266,7396.9,7368,14891,0,0,0,24.84,25.4,36.4,0,0,0,432,420,659,622.9,629,926,28.68,26,51,24.32,23,46,10.32,10,15,146.13,137,346,3259.03,3273,5673,580.32,624,778,297.58,278,475,41.74,42,95,0.88,0.902,1,0.71,0.6,1.6,1.25,1.29,2.85
Reaper,30,18,12,60,7.5,8,15,3.03,3,7,10.47,12,22,12.33,9.67,30,16178.57,14896,40417,9643.4,8647,23348,6396.77,6681,13765,397.33,507,1008,31.94,29.3,72.3,1.28,1.6,3.2,553.57,512,1410,926.8,818,2646,39,42,61,20.63,21,36,10.57,11,14,133.97,137,274,3647.3,3940,5391,659.3,724,886,297.63,305,488,39.23,42,108,0.89,0.917,1,1.37,1.4,2.8,1.89,1.54,5.11
Cleric,44,20,24,45.5,2.73,2,9,4.77,6,9,11.07,14,23,5.51,2.29,21,7671.34,7354,12370,4743.93,4679,9440,8541.34,9196,14382,5341.34,5046,11674,16.13,15.5,25.7,17.17,17.4,33.2,307.59,312,424,366.77,372,498,41.23,41,64,33.48,36,54,9.98,10,13,151.8,142,330,3013.16,2926,4392,519.84,501,736,289.59,307,422,56.89,63,118,0.83,0.831,1,0.45,0.4,1.5,0.65,0.51,2.54
Summoner,37,16,21,43.2,3.14,2,11,4.84,6,9,9.86,10,20,6.61,2.29,20,7063.08,6712,13071,3904.24,3762,7878,6835.03,7339,13110,180.78,182,696,13.68,13.2,23.1,0.63,0.7,1.7,177.95,180,214,247.35,244,296,38.43,37,70,19.16,19,30,9.73,10,13,137.43,139,347,2974.59,2843,4722,529.27,533,704,279.62,270,416,60.97,76,124,0.83,0.799,1,0.52,0.5,1.5,0.76,0.59,2.28
Pyromancer,26,5,21,19.2,2.85,2,13,6.08,7,9,6.23,4,20,3.4,0.86,28,10568.92,9399,22875,5051.81,4741,12810,7367.08,7120,10137,119.35,106,327,17.46,17.7,34.1,0.43,0.5,0.9,397.96,412,722,572.85,556,1048,24.12,20,44,18.5,15,35,9.5,9,13,143.62,147,292,2765.73,2464,4788,479.65,463,765,265.92,255,403,73.62,81,120,0.77,0.761,1,0.45,0.3,2.1,0.7,0.52,2.82
Zephyr,39,18,21,46.2,3.44,3,15,3.82,4,7,8.67,7,22,6.39,1.33,24,11089.05,10430,24761,5911.31,5762,14425,7104.87,7050,11167,216.26,131,644,19.91,18.8,40.7,0.71,0.6,2,374.33,341,702,510.15,500,1157,32.92,32,54,31.67,32,56,9.51,10,14,156.82,134,388,2901.05,2897,5368,526.95,463,818,279.28,269,434,48.38,48,118,0.85,0.85,1,0.6,0.4,2.1,0.93,0.89,3.77
Hana,28,19,9,67.9,4.54,4,9,3.25,3,8,13.32,15,25,10.27,10,29,13321.43,13315,22904,8171.14,8009,12837,8445.29,8193,15523,0,0,0,26.84,28.1,40.7,0,0,0,416.57,429,618,741.79,748,1120,13.36,13,23,36.93,36,57,10.5,11,13,152.32,133,335,3379.11,3445,4776,605.96,609,820,302.93,315,420,36.82,31,94,0.89,0.921,1,0.84,0.9,1.9,1.34,1.05,4.18
Eggchanter,32,11,21,34.4,1.31,1,6,5.16,6,8,8.66,7,22,4.15,1.43,18,5605,5783,10006,3160.44,3596,4840,9503.03,9710,15258,4707.22,4614,9553,11.13,11.8,15.8,16.65,15.7,28.6,129.03,130,166,197.56,198,264,28.72,27,57,15.31,14,34,9.31,9,13,177.31,170,474,2648.41,2708,4049,470.69,440,732,279.72,265,449,63.91,74,106,0.82,0.799,1,0.24,0.2,1.5,0.38,0.35,1.14
