className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Healer,43,23,20,53.5,2.91,3,8,3.4,3,9,11.79,14,21,9.06,6.25,25,7001.42,6402,12819,4592.42,4412,8524,8349.4,7180,17929,6287.35,6122,14176,14.97,14.3,26.8,20.09,20.1,40.9,151.65,153,201,211.23,209,269,45.63,47,77,16.26,16,30,9.74,10,13,127.23,119,365,3005.72,3064,4604,548.4,534,784,293.4,284,466,36.37,36,106,0.89,0.896,1,0.51,0.6,2.2,0.67,0.56,1.84
Zephyr,30,12,18,40,4.93,6,11,4.47,5,9,9.83,10,26,6.73,3.8,29,14323.03,15911,36669,8268.37,7613,21643,8317.63,8642,14267,293.73,328,703,26.65,28.7,48.3,0.95,1.2,1.8,429.93,423,715,615.73,645,1149,35.2,35,59,35.17,35,65,10.33,11,14,165.47,168,335,3315.47,3384,5085,562.2,516,872,297.23,302,458,55.73,61,116,0.84,0.834,1,0.82,0.8,2.9,1.19,0.98,3.72
Vanguard,34,19,15,55.9,4.15,4,13,3.65,4,8,11.74,14,24,8.55,6,29,13943.35,14199,25113,7646.44,7923,17230,8622.82,8002,16711,119.91,0,550,24.33,24.9,45.9,0.4,0,1.6,465.56,446,714,655.62,654,917,45.09,45,67,28.74,30,45,10.12,10,13,164.09,149,313,3242.76,3424,4870,561.59,542,798,302.21,302,439,44.74,52,117,0.87,0.868,1,0.71,0.6,2.6,1.11,0.97,4.13
Tamer,35,18,17,51.4,5.49,4,16,5.29,7,10,9.8,11,20,6.23,2.88,24,14224.31,12803,29729,8220.69,7846,15650,6692.54,6374,11383,3190.54,2994,5732,28.09,27.8,44,11.29,11.3,17,300.77,298,494,501.09,499,714,33.94,33,65,12.03,12,22,10.4,11,14,149.66,144,292,3379.66,3608,5490,592.77,560,902,279.06,281,447,64.54,65,147,0.82,0.794,1,0.96,0.7,2.9,1.57,1.25,6.7
Summoner,35,15,20,42.9,2.63,2,9,4.8,6,9,9.26,9,19,5.67,2,22,6392.69,6001,11616,3674.37,3755,7731,6528.03,6256,12038,154.29,145,703,13.03,13,21.2,0.55,0.6,1.8,173.31,171,221,241.83,238,313,37.51,35,67,18.66,17,36,9.31,10,12,139.51,134,299,2799.51,2876,4233,514,483,855,272.8,240,401,55.66,64,128,0.83,0.816,1,0.48,0.4,2.3,0.78,0.51,3.23
Ironclad,42,16,26,38.1,2.43,2,8,4.1,5,8,9.26,8,24,6.2,1.8,28,8964.45,7583,19022,5281.74,5009,12178,10659.17,10497,17736,0,0,0,17.04,17.4,29.8,0,0,0,344.81,368,573,485,484,842,29.36,29,50,19.9,19,38,9.55,10,13,141.55,142,342,2849.88,2836,4852,497.79,450,764,292.76,282,423,47.33,52,105,0.86,0.848,1,0.41,0.4,1.2,0.58,0.48,1.84
Volstrov,31,8,23,25.8,2.71,2,9,5.26,6,8,7.42,6,21,4.38,1.5,22,10301.35,9970,22306,5702.39,5965,11575,7163.19,7203,12267,268.03,252,539,20.53,20.2,35.4,0.99,1,1.8,264.48,272,370,476.26,446,856,12.32,13,22,14.35,14,26,9.42,9,13,158.84,154,301,2786.26,2752,4690,505.55,473,745,266.74,253,464,63.77,75,121,0.81,0.777,1,0.48,0.3,1.9,0.99,0.77,4.04
Hana,32,21,11,65.6,4.5,4,12,3.31,3,9,13.63,15,25,10.62,9,31,15473.13,14826,30372,9513.59,9977,17185,8763.97,8061,17683,0,0,0,29.65,31.2,45.9,0,0,0,414.59,409,695,749.09,739,1248,14.16,14,31,37,36,66,10.44,10,13,162.41,151,299,3421,3360,5090,588.25,606,795,312.66,301,478,41.13,36,135,0.89,0.935,1,0.76,0.6,2,1.28,0.97,3.34
Jailer,26,14,12,53.8,3.92,3,12,4.62,4,9,11.12,14,21,5.72,5,21,14403.58,13450,27702,8892.15,8861,18288,9514.88,10356,19376,0,0,0,27.82,26.8,46.7,0,0,0,449.73,454,655,634.5,650,975,29.65,27,59,27.35,25,54,10.35,10,14,128.42,107,289,3302.46,3309,5610,535.27,541,765,309.04,290,483,55.92,59,112,0.84,0.866,1,0.59,0.6,1.6,1.01,1.08,1.77
Pyromancer,31,9,22,29,2.77,2,10,5.29,6,8,8.52,6,20,4.56,1.14,25,11533.9,9326,28117,5485.45,4316,16304,7467.29,7086,13954,137.29,105,484,18.55,18.2,35.1,0.46,0.5,1.5,398,390,591,584.13,584,821,26.19,21,61,20.61,17,43,9.61,9,13,140.42,130,397,2901.71,2239,5015,504.52,485,758,277.13,238,464,63.39,73,115,0.81,0.789,1,0.45,0.4,1.8,0.86,0.62,5.24
Doctor,32,23,9,71.9,3,3,8,3.03,2,9,14.63,16,29,12.49,13,30,7890.41,7293,20756,5422,4723,16765,7601.09,7476,13904,6412.91,6049,14327,18.55,18.7,36.7,22.42,22.3,38.3,223.41,220,415,349,338,727,22.72,22,45,17.63,17,30,10.06,10,14,155.38,179,327,3109.28,2888,4725,604.31,642,827,280.63,262,457,36.38,23,122,0.9,0.934,1,0.6,0.6,1.6,0.88,0.77,2.5
Cleric,33,18,15,54.5,3.24,3,10,3.85,4,8,11,12,26,8.05,5.25,27,7661.61,7663,12736,4712.91,4210,8093,7934.64,8018,15845,5669.85,5105,12718,15.42,16,28.9,17.89,17.2,32.4,305.52,307,375,359.52,363,441,40.61,41,67,33.55,35,59,9.97,10,13,134.58,137,271,3076.24,3362,4800,538,515,804,298.55,277,452,45.88,53,105,0.87,0.87,1,0.56,0.5,1.9,0.74,0.56,2.77
Eggchanter,39,14,25,35.9,1.49,1,6,5.05,6,9,8.67,9,19,5.01,1.67,18,5462.38,5049,10659,3259.36,3101,7701,9031.26,9283,14302,4341.92,4289,8064,11.56,11.7,17.7,15.23,15.4,28,137.26,141,185,213.46,213,288,27.28,26,51,14.41,14,26,9.1,9,12,110.72,108,264,2610.08,2491,4165,477,438,648,275.38,258,436,58.56,78,121,0.83,0.802,1,0.26,0.2,1.1,0.45,0.34,1.88
Goliath,30,16,14,53.3,2.93,3,7,3.17,3,8,10.7,13,25,9.31,8,25,8651.63,8700,19405,4989.73,4698,11048,7930.8,7859,17524,1664.23,1638,3540,17.94,17.7,29.5,5.94,5.8,9.1,335.2,320,595,465.43,446,883,31.43,30,56,19.2,19,37,9.4,10,12,168.07,172,356,2833.07,3015,4219,558.53,610,790,268.87,270,406,38.97,27,96,0.88,0.899,1,0.57,0.5,1.6,0.81,0.7,2.98
Kratoma,38,17,21,44.7,4.68,5,11,4.26,5,8,10.16,12,20,7.46,3,25,12990.45,11882,30937,7097.29,7148,15283,7016.55,7012,13758,241.79,244,786,23.72,24.1,38.7,0.81,1,1.9,273.66,265,441,515.95,519,845,22,20,36,21.53,19,38,10.13,10,14,142,140,304,3241.34,3172,5463,583.79,528,954,286.39,274,449,52.16,59,118,0.85,0.816,1,0.86,0.8,2.6,1.43,0.91,5.84
Quiller,38,17,21,44.7,3.95,4,10,4.76,6,8,9.26,9,22,5.58,2.86,27,12340.11,10731,32735,6425.18,5128,18974,6008.29,6589,9737,339.61,302,1252,21.31,19.5,50.9,1.12,1.2,3.1,263.21,255,376,475.84,472,750,37.71,38,56,23.87,24,39,9.97,10,13,154.68,165,282,3082.97,3076,4920,544.32,521,811,283.42,289,441,56.34,63,111,0.84,0.811,1,0.68,0.6,1.7,1.18,0.96,3.69
Lynx,38,29,9,76.3,9.79,9,22,2.89,2,9,10.79,13,21,13.61,12,32,20453.89,21000,42978,12273.08,12795,24441,5771.5,5418,13304,434.16,529,939,41.36,40.7,75.8,1.53,1.6,3.4,581.21,585,1120,1037.5,983,1815,53.42,55,88,37.34,35,71,10.89,11,15,143.24,152,274,3826.13,4074,5799,712.82,772,945,294.05,282,472,35.71,16,148,0.9,0.953,1,1.88,1.7,4.3,2.73,2.47,6.83
