gameIndex,winner,gameDuration,score0,score1,id,className,team,role,dmgType,kills,deaths,assists,kda,dmgDealtTotal,dmgDealtToHeroes,dmgTaken,hpHealed,dpsToHeroes,hpsHealed,maxBurst1s,maxBurst3s,spellCastsQ,spellCastsE,level,gold,totalGold,goldPerMin,timeAlive,timeDead,survivalRate,killsPerMin,dmgEfficiency,items
0,0,305,152,27,bot0_1,Healer,0,SUPPORT,magical,5,2,16,10.5,8484,6253,6770,5696,20.5,18.7,190,260,52,13,11,197,3447,678,305,0,1,1,0.92,"basic_hp;basic_hp;basic_armor;basic_armor;basic_power;basic_power;basic_haste;basic_hp;basic_as;basic_armor;basic_power;basic_haste"
0,0,305,152,27,bot1_1,Quiller,1,SLAYER,physical,2,6,4,1,11232,6416,5612,269,28.5,1.2,260,438,32,19,9,31,2356,463,225,80,0.738,0.4,1.14,"special_lifesteal;basic_power;basic_power;basic_hp;basic_as;basic_hp;basic_armor;basic_mr"
0,0,305,152,27,bot0_2,Goliath,0,TANK,physical,5,0,18,23,14899,9802,5209,2220,32.1,7.3,357,549,40,24,11,177,3502,689,305,0,1,1,1.88,"basic_hp;basic_hp;basic_armor;basic_hp;basic_armor;basic_power;basic_as;basic_armor;basic_power;basic_as;basic_as;basic_hp"
0,0,305,152,27,bot1_2,Bruiser,1,FIGHTER,physical,2,4,2,1,6056,3044,9243,0,11.9,0,196,393,33,30,8,25,2175,428,256,49,0.84,0.4,0.33,"basic_hp;basic_hp;basic_hp;basic_armor;basic_hp;basic_mr;basic_power;basic_as"
0,0,305,152,27,bot0_3,Oracle,0,MAGE,physical,4,2,11,7.5,10083,5348,5110,316,19.3,1.1,438,568,19,19,9,301,2926,576,278,27,0.911,0.8,1.05,"special_lifesteal;basic_power;basic_hp;basic_power;basic_hp;basic_as;basic_armor;basic_haste;basic_hp"
0,0,305,152,27,bot1_3,Doctor,1,SUPPORT,physical,0,7,6,0.86,4556,3778,9806,3577,15.6,14.8,204,253,19,13,8,291,2141,421,242,63,0.792,0,0.39,"basic_hp;basic_hp;basic_hp;basic_armor;basic_mr;basic_armor;basic_power"
0,0,305,152,27,bot0_4,Lynx,0,SLAYER,physical,9,2,11,10,15224,9820,6506,505,35,1.8,635,890,52,34,11,284,3759,739,281,24,0.92,1.8,1.51,"special_lifesteal;basic_power;basic_power;basic_hp;basic_hp;basic_as;basic_armor;basic_mr;basic_hp;basic_power;basic_armor;basic_as"
0,0,305,152,27,bot1_4,Kratoma,1,SLAYER,physical,2,6,4,1,12231,7327,8441,307,32.7,1.4,252,536,15,15,9,323,2398,472,224,81,0.735,0.4,0.87,"special_lifesteal;basic_power;basic_hp;basic_as;basic_power;basic_armor;basic_hp"
1,0,387,152,59,bot0_1,Lynx,0,SLAYER,physical,5,5,17,4.4,16233,9956,11786,417,31.6,1.3,518,763,62,41,11,240,3815,591,315,72,0.814,0.8,0.84,"basic_hp;basic_hp;special_lifesteal;basic_hp;basic_as;basic_power;basic_mr;basic_hp;basic_armor;basic_hp;basic_as;basic_power"
1,0,387,152,59,bot1_1,Kratoma,1,SLAYER,physical,4,9,10,1.56,11948,6807,11805,308,21.4,1,273,631,20,16,11,231,3456,536,318,69,0.821,0.6,0.58,"special_lifesteal;basic_power;basic_as;basic_power;basic_hp;basic_armor;basic_power;basic_mr;basic_as;basic_hp;basic_power"
1,0,387,152,59,bot0_2,Mage,0,MAGE,magical,9,3,21,10,17660,9831,5635,0,28.9,0,537,847,77,25,13,23,4748,736,340,47,0.879,1.4,1.74,"basic_hp;basic_hp;basic_hp;basic_armor;basic_mr;basic_haste;basic_hp;basic_armor;basic_mr;basic_power;basic_as;basic_armor;basic_hp;basic_haste;basic_mr;basic_power;basic_as"
1,0,387,152,59,bot1_2,Reaper,1,SPLITPUSHER,magical,5,6,7,2,11910,7761,10407,340,25.8,1.1,660,916,37,17,11,186,3361,521,300,87,0.776,0.8,0.75,"special_lifesteal;basic_power;basic_hp;basic_armor;basic_power;basic_hp;basic_haste;basic_armor;basic_haste;basic_power;basic_mr"
1,0,387,152,59,bot0_3,Quiller,0,SLAYER,physical,5,3,25,10,18542,9567,5037,633,28,1.8,303,625,50,30,13,248,4398,682,342,45,0.884,0.8,1.9,"special_lifesteal;basic_power;basic_as;basic_hp;basic_armor;basic_power;basic_mr;basic_power;basic_as;basic_as;basic_power;basic_hp;basic_mr;basic_power"
1,0,387,152,59,bot1_3,Cleric,1,SUPPORT,magical,3,8,10,1.63,7501,5332,11027,3940,18.4,13.6,333,399,32,29,11,250,3225,500,289,98,0.748,0.5,0.48,"special_heal_power;basic_hp;basic_power;basic_hp;basic_hp;basic_power;basic_armor;basic_hp;basic_armor;basic_haste"
1,0,387,152,59,bot0_4,Oracle,0,MAGE,physical,12,3,13,8.33,22835,12690,6388,686,34.1,1.8,558,843,27,24,13,229,4854,752,372,15,0.962,1.9,1.99,"special_lifesteal;basic_power;basic_as;basic_power;basic_as;basic_power;basic_hp;basic_hp;basic_as;basic_power;basic_armor;basic_power;basic_power;basic_hp;basic_as"
1,0,387,152,59,bot1_4,Wanderer,1,SLAYER,physical,2,8,11,1.63,13584,5922,10536,0,21.5,0,525,856,19,15,10,130,3080,477,276,111,0.713,0.3,0.56,"basic_hp;basic_hp;basic_hp;basic_armor;basic_power;basic_as;basic_hp;basic_armor;basic_mr;basic_haste;basic_power"
2,0,381,151,34,bot0_1,Mage,0,MAGE,magical,6,4,27,8.25,19065,10548,6113,563,30.5,1.6,374,573,80,30,13,23,4723,743,346,35,0.908,0.9,1.73,"special_lifesteal;basic_hp;basic_hp;basic_mr;basic_hp;basic_power;basic_mr;basic_haste;basic_as;basic_mr;basic_power;basic_haste;basic_as;basic_power;basic_hp;basic_mr"
