gameIndex,winner,gameDuration,score0,score1,id,className,team,role,dmgType,kills,deaths,assists,kda,dmgDealtTotal,dmgDealtToHeroes,dmgTaken,hpHealed,dpsToHeroes,hpsHealed,maxBurst1s,maxBurst3s,spellCastsQ,spellCastsE,level,gold,totalGold,goldPerMin,timeAlive,timeDead,survivalRate,killsPerMin,dmgEfficiency,items
0,0,481,150,126,bot0_1,Ironclad,0,TANK,physical,1,4,15,4,9907,7179,14777,0,16.7,0,360,410,49,26,11,60,3435,428,431,51,0.895,0.1,0.49,"basic_hp;basic_hp;basic_hp;basic_armor;basic_mr;basic_armor;basic_power;basic_armor;basic_hp;basic_mr;basic_power;basic_hp"
0,0,481,150,126,bot1_1,Doctor,1,SUPPORT,physical,5,4,13,4.5,7537,5347,12062,10331,13,25.1,161,258,33,25,12,145,4070,507,411,70,0.854,0.6,0.44,"special_heal_power;basic_hp;basic_hp;basic_hp;basic_armor;basic_mr;basic_hp;basic_hp;basic_mr;basic_armor;basic_power;basic_armor;basic_mr"
0,0,481,150,126,bot0_2,Jirina,0,FIGHTER,magical,3,3,13,5.33,15326,8122,9268,5760,18.2,12.9,424,521,55,22,11,212,3662,456,446,35,0.927,0.4,0.88,"special_lifesteal;special_gw;basic_power;basic_hp;basic_hp;basic_power;basic_armor;basic_armor;basic_haste;basic_haste;basic_hp"
0,0,481,150,126,bot1_2,Lynx,1,SLAYER,physical,7,5,9,3.2,19665,12956,10695,406,32.2,1,443,843,61,51,12,55,4155,518,402,79,0.835,0.9,1.21,"special_gw;basic_hp;special_lifesteal;basic_power;basic_as;basic_power;basic_hp;basic_armor;basic_hp;basic_power;basic_as;basic_as;basic_power"
0,0,481,150,126,bot0_3,Eggchanter,0,SUPPORT,magical,2,6,12,2.33,10851,5631,9195,5610,13.6,13.6,148,215,49,26,11,185,3360,419,413,68,0.858,0.2,0.61,"basic_hp;basic_hp;basic_armor;basic_armor;basic_power;basic_mr;basic_power;basic_haste;basic_mr;basic_haste;basic_hp;basic_as"
0,0,481,150,126,bot1_3,Volstrov,1,MAGE,magical,4,5,14,3.6,21794,10815,8423,541,27.4,1.4,296,460,19,22,12,17,4092,510,395,86,0.821,0.5,1.28,"special_lifesteal;basic_power;basic_power;basic_hp;basic_power;basic_hp;basic_haste;basic_haste;basic_mr;basic_armor;basic_mr;basic_armor;basic_power;basic_hp"
0,0,481,150,126,bot0_4,Fusilier,0,SLAYER,physical,11,7,6,2.43,28158,20557,8748,552,47.5,1.3,459,906,72,21,12,239,4539,566,433,49,0.899,1.4,2.35,"special_lifesteal;basic_power;basic_as;basic_hp;basic_power;basic_power;basic_armor;basic_mr;basic_power;basic_as;basic_as;basic_as;basic_power;basic_power"
0,0,481,150,126,bot1_4,Bruiser,1,FIGHTER,physical,4,3,15,6.33,18808,10269,13118,0,24,0,337,609,71,47,12,161,4011,500,429,53,0.891,0.5,0.78,"special_gw;basic_hp;basic_hp;basic_hp;basic_hp;basic_power;basic_power;basic_hp;basic_armor;basic_armor;basic_mr;basic_mr;basic_as"
1,0,294,152,9,bot0_1,Kratoma,0,SLAYER,physical,7,1,14,21,14088,8405,4441,436,30,1.6,333,552,21,22,10,245,3520,719,280,14,0.953,1.4,1.89,"special_lifesteal;basic_power;basic_power;basic_power;basic_power;basic_as;basic_hp;basic_as;basic_hp;basic_as;basic_mr"
1,0,294,152,9,bot1_1,Pyromancer,1,SLAYER,magical,0,5,3,0.6,5095,1990,5658,62,8.8,0.3,307,365,18,12,8,219,2019,413,227,66,0.774,0,0.35,"special_lifesteal;basic_power;basic_hp;basic_armor;basic_power;basic_haste"
