className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Jailer,65,34,31,52.3,3.18,3,9,4.26,5,8,10.51,13,21,6.5,3.5,23,11565.72,10426,28043,7261.32,7393,16500,8534.15,8964,20139,0,0,0,24.15,24.2,39.5,0,0,0,453.98,452,684,597.14,590,959,27.43,27,59,25.22,24,56,9.8,10,14,150.22,141,332,3025.6,3131,5102,532.09,537,778,291.58,283,496,49.68,50,132,0.86,0.853,1,0.55,0.5,1.8,0.97,0.84,2.72
Reaper,27,16,11,59.3,6.15,5,16,3.41,3,7,9.15,8,21,9.54,5.2,29,14280.74,13682,25087,9215.26,8412,16938,6835.04,6632,11399,465.81,476,771,31,27.9,55.4,1.57,1.5,2.7,601.37,539,1055,903.07,882,1504,36.85,36,59,19.3,19,29,10.07,10,13,139,140,415,3307.52,3184,4861,602.3,589,964,290.74,282,391,45.22,46,101,0.87,0.89,1,1.16,0.9,3.4,1.54,1.49,3.08
Pyromancer,49,12,37,24.5,2,1,8,5.27,6,8,7.12,5,22,3.97,1,22,10580.1,8961,29354,5491.71,4813,20860,6400.1,6386,12130,143.9,126,352,19.22,18.9,39.2,0.52,0.5,0.9,410.59,409,689,596.45,581,1124,24.22,22,53,18.37,16,40,9.14,9,13,153.88,146,343,2633.47,2455,4714,474.9,435,719,269.9,258,533,62.51,66,112,0.81,0.781,1,0.34,0.2,1.2,0.98,0.67,4.03
Eggchanter,47,17,30,36.2,1.72,1,6,4.43,5,9,9.02,10,21,5.74,1.8,26,6387.57,6201,12179,3640.45,3543,6156,8184.43,8902,16893,4778.02,4464,11548,12.51,12.5,19,16.16,15.6,31.7,132.62,131,183,209.81,208,289,30.87,30,55,15.77,15,26,9.21,9,12,143.87,160,338,2681.64,2705,4060,481.68,440,796,286.85,285,450,51.87,64,106,0.85,0.817,1,0.32,0.2,1.7,0.74,0.42,5.8
Jirina,58,33,25,56.9,3.38,3,10,2.66,2,7,10.69,12,22,10.32,9.5,31,11217.57,11177,20244,6681.14,6587,15802,7502.43,7000,15932,3577.86,3177,8566,21.83,21.3,41.4,11.61,10.4,25.1,394.86,375,654,498.19,493,832,37.76,39,65,14.98,14,32,9.71,10,13,168.12,170,374,2969.84,3087,4534,547.41,541,803,295.17,299,453,32.71,28,99,0.9,0.93,1,0.63,0.5,2.2,1.02,1.08,2.11
Bruiser,70,29,41,41.4,3.84,2,14,4.24,5,8,7.74,8,22,5.78,1.86,29,10277.19,9347,30406,6101.8,5392,21845,8030.26,7447,20163,231.49,212,868,19.85,18,40.6,0.75,0.8,1.7,333.36,313,596,514.33,508,990,42.69,42,85,32.17,30,62,9.37,9,13,151.11,148,395,2937.19,2754,5310,518.31,458,854,287.81,287,539,49.4,50,118,0.85,0.834,1,0.65,0.4,2.7,0.81,0.63,1.95
Goliath,63,23,40,36.5,2.13,2,10,3.97,5,9,8.49,6,25,6.26,1.6,28,8212.98,7607,22869,5129.06,4659,17153,9596.19,8948,24231,1592.76,1520,6153,17.59,17.9,31.5,5.33,5.2,11.3,347.57,334,605,451.81,427,956,33.27,31,64,19.08,18,49,9.14,9,14,160.33,157,348,2697.24,2619,5372,489.68,457,711,279.97,260,545,48.97,57,102,0.85,0.815,1,0.37,0.3,1.4,0.57,0.51,1.38
Hana,67,31,36,46.3,3.19,3,10,4.1,4,8,9.57,9,24,6.67,3,23,10277.93,9988,21300,6619.57,6221,13212,9899.42,9936,18257,0,0,0,21.89,21.1,35.1,0,0,0,393.66,364,661,625.48,602,1220,14.03,14,25,35.54,34,66,9.54,10,13,147.01,117,341,2940.3,2952,4618,512.64,511,743,295.55,288,463,46.91,55,108,0.86,0.834,1,0.53,0.4,1.7,0.74,0.65,1.96
Ironclad,68,31,37,45.6,2.51,2,7,3.51,4,8,10.28,9,24,8.14,2.5,28,7878.41,7306,20030,5310.91,5021,14553,10582.18,11043,20381,0,0,0,17.18,17.6,26.2,0,0,0,338.28,336,520,446.46,446,756,29.96,28,63,21.07,21,48,9.51,9,14,148.34,143,353,2884.74,2947,5168,507.96,479,730,299.04,287,555,41.91,47,91,0.88,0.869,1,0.43,0.4,1.3,0.58,0.49,1.54
Lynx,56,35,21,62.5,7.64,8,20,4.16,4,9,8,8,18,7.25,5.75,28,15383.63,15995,28918,9535.79,9206,21378,6540.79,6083,12320,412.86,413,1286,32.43,32.6,51.9,1.42,1.4,3.7,549.93,535,943,887.45,874,1559,50.29,50,83,37.71,36,60,10.27,10,13,158.63,158,326,3488.98,3670,5307,626.38,645,913,285.18,273,435,51.3,42,129,0.85,0.881,1,1.39,1.5,4,1.56,1.59,3.18
