gameIndex,winner,gameDuration,score0,score1,id,className,team,role,dmgType,kills,deaths,assists,kda,dmgDealtTotal,dmgDealtToHeroes,dmgTaken,hpHealed,dpsToHeroes,hpsHealed,maxBurst1s,maxBurst3s,spellCastsQ,spellCastsE,level,gold,totalGold,goldPerMin,timeAlive,timeDead,survivalRate,killsPerMin,dmgEfficiency,items
0,0,441,150,85,bot0_1,Ironclad,0,TANK,physical,6,3,20,8.67,13405,9460,18452,0,24.2,0,371,477,48,36,12,192,4342,590,391,50,0.887,0.8,0.51,"basic_hp;basic_hp;basic_hp;basic_hp;basic_mr;basic_armor;basic_hp;basic_mr;basic_as;basic_power;basic_haste;basic_armor;basic_mr;basic_as;basic_power"
0,0,441,150,85,bot1_1,Vanguard,1,FIGHTER,physical,1,7,14,2.14,11957,6701,13440,0,19.3,0,483,611,52,33,10,268,3193,434,348,94,0.788,0.1,0.5,"basic_hp;basic_hp;basic_hp;basic_armor;basic_armor;basic_power;basic_power;basic_armor;basic_as;basic_mr;basic_haste"
0,0,441,150,85,bot0_2,Doctor,0,SUPPORT,physical,2,5,24,5.2,9196,6977,14708,11783,19.1,32.2,207,323,19,28,12,95,3895,530,366,75,0.83,0.3,0.47,"special_gw;basic_hp;basic_hp;basic_hp;basic_mr;basic_armor;basic_power;basic_mr;basic_armor;basic_power;basic_as;basic_hp;basic_mr"
0,0,441,150,85,bot1_2,Hana,1,TANK,magical,2,5,12,2.8,16426,9123,13392,0,24.5,0,665,995,17,42,11,165,3465,471,372,69,0.843,0.3,0.68,"basic_hp;basic_hp;basic_hp;basic_armor;basic_power;basic_armor;basic_armor;basic_power;basic_power;basic_haste;basic_hp;basic_mr"
0,0,441,150,85,bot0_3,Quiller,0,SLAYER,physical,11,4,13,6,26777,10979,7135,740,28.8,1.9,355,655,54,37,12,83,4783,650,381,60,0.863,1.5,1.54,"special_lifesteal;basic_power;basic_power;basic_hp;basic_power;basic_as;basic_as;basic_hp;basic_as;basic_hp;basic_mr;basic_mr;basic_armor;basic_power;basic_armor;basic_hp"
0,0,441,150,85,bot1_3,Mage,1,MAGE,magical,6,9,10,1.78,24285,13580,9929,482,41.3,1.5,662,845,70,33,12,84,4034,549,329,113,0.745,0.8,1.37,"special_lifesteal;basic_power;basic_hp;basic_power;basic_haste;basic_power;basic_armor;basic_power;basic_power;basic_mr;basic_hp;basic_power;basic_haste"
0,0,441,150,85,bot0_4,Fusilier,0,SLAYER,physical,10,4,16,6.5,23111,15321,6849,581,40.4,1.5,505,897,58,14,12,270,4695,638,379,62,0.858,1.4,2.24,"special_lifesteal;basic_power;basic_power;basic_hp;basic_as;basic_hp;basic_as;basic_mr;basic_power;basic_armor;basic_hp;basic_as;basic_power;basic_as;basic_mr"
0,0,441,150,85,bot1_4,Kratoma,1,SLAYER,physical,7,8,7,1.75,17530,13556,10045,313,39.5,0.9,339,663,26,24,12,390,3890,529,343,98,0.777,1,1.35,"special_lifesteal;basic_power;basic_power;basic_hp;basic_power;basic_as;basic_armor;basic_hp;basic_haste;basic_as;basic_hp;basic_as"
1,1,417,87,151,bot0_1,Healer,0,SUPPORT,magical,3,5,8,2.2,8950,6459,10598,5431,18.6,15.6,171,200,53,24,10,218,3118,449,348,69,0.835,0.4,0.61,"basic_hp;basic_hp;special_heal_power;basic_armor;basic_armor;basic_haste;basic_power;basic_haste;basic_as;basic_hp"
1,1,417,87,151,bot1_1,Lynx,1,SLAYER,physical,12,5,10,4.4,18108,12799,7493,319,36.4,0.9,506,972,55,45,12,41,4541,654,351,65,0.843,1.7,1.71,"special_lifesteal;basic_power;basic_as;basic_power;basic_power;basic_power;basic_hp;basic_as;basic_mr;basic_hp;basic_armor;basic_as;basic_as;basic_hp;basic_power"
