gameIndex,winner,gameDuration,score0,score1,id,className,team,role,dmgType,kills,deaths,assists,kda,dmgDealtTotal,dmgDealtToHeroes,dmgTaken,hpHealed,dpsToHeroes,hpsHealed,maxBurst1s,maxBurst3s,spellCastsQ,spellCastsE,level,gold,totalGold,goldPerMin,timeAlive,timeDead,survivalRate,killsPerMin,dmgEfficiency,items
0,0,305,151,11,bot0_1,Healer,0,SUPPORT,magical,6,0,16,22,7621,5883,6978,12484,19.3,40.9,146,202,53,21,10,126,3501,688,305,0,1,1.2,0.84,"basic_hp;basic_hp;basic_hp;basic_mr;basic_hp;basic_mr;basic_mr;basic_power;basic_power;basic_armor;basic_armor;basic_hp"
0,0,305,151,11,bot1_1,Zephyr,1,SPLITPUSHER,magical,2,6,3,0.83,15911,8334,7409,292,36.9,1.3,423,645,24,32,9,70,2420,476,226,80,0.739,0.4,1.12,"special_lifesteal;basic_power;basic_hp;basic_mr;basic_haste;basic_power;basic_armor;basic_power"
0,0,305,151,11,bot0_2,Vanguard,0,FIGHTER,physical,13,2,6,9.5,13860,8494,7310,0,30.4,0,503,693,37,34,10,148,4023,791,279,26,0.915,2.6,1.16,"special_gw;basic_hp;basic_hp;basic_hp;basic_mr;basic_mr;basic_hp;basic_power;basic_mr;basic_hp;basic_as;basic_power;basic_armor"
0,0,305,151,11,bot1_2,Tamer,1,MAGE,magical,1,6,4,0.83,11675,3566,6092,1695,16.2,7.7,237,352,19,8,10,111,2486,489,220,85,0.722,0.2,0.59,"basic_hp;basic_hp;basic_mr;basic_hp;basic_haste;basic_power;basic_armor;basic_mr;basic_haste"
0,0,305,151,11,bot0_3,Summoner,0,MAGE,magical,5,2,16,10.5,7362,5157,6256,303,18.6,1.1,168,240,44,24,10,181,3381,665,277,28,0.907,1,0.82,"special_lifesteal;basic_power;basic_hp;basic_power;basic_mr;basic_hp;basic_haste;basic_hp;basic_armor;basic_mr;basic_power"
0,0,305,151,11,bot1_3,Ironclad,1,TANK,physical,2,5,2,0.8,6609,3563,11845,0,14.8,0,365,504,23,16,8,106,2256,443,240,65,0.786,0.4,0.3,"basic_hp;basic_hp;basic_hp;basic_mr;basic_mr;basic_mr;basic_power;basic_armor"
0,0,305,151,11,bot0_4,Volstrov,0,MAGE,magical,1,1,21,22,14581,8717,6080,539,29.8,1.8,333,585,9,17,10,61,2986,587,293,13,0.959,0.2,1.43,"special_lifesteal;basic_hp;basic_hp;basic_power;basic_mr;basic_mr;basic_power;basic_hp;basic_haste;basic_haste"
0,0,305,151,11,bot1_4,Hana,1,TANK,magical,0,8,5,0.63,14826,9124,10319,0,44.1,0,344,801,7,23,8,61,2136,420,207,98,0.677,0,0.88,"basic_hp;basic_hp;basic_mr;basic_power;basic_mr;basic_armor;basic_power;basic_haste"
1,0,517,152,101,bot0_1,Jailer,0,TANK,magical,10,4,8,4.5,24255,18288,13742,0,40.3,0,479,694,47,54,12,87,4662,541,454,62,0.879,1.2,1.33,"basic_hp;basic_hp;basic_mr;basic_haste;basic_hp;basic_mr;basic_mr;basic_hp;basic_mr;basic_power;basic_armor;basic_haste;basic_as;basic_power;basic_hp;basic_hp"
1,0,517,152,101,bot1_1,Pyromancer,1,SLAYER,magical,2,6,18,3.33,24106,13623,13954,298,31.5,0.7,503,788,50,36,13,50,4175,485,433,84,0.838,0.2,0.98,"special_lifesteal;basic_hp;basic_hp;basic_power;basic_haste;basic_power;basic_hp;basic_mr;basic_mr;basic_armor;basic_haste;basic_hp;basic_armor;basic_hp"
1,0,517,152,101,bot0_2,Doctor,0,SUPPORT,physical,2,4,16,4.5,20756,16765,11925,11668,36.7,25.5,415,727,45,26,12,274,3799,441,457,60,0.885,0.2,1.41,"basic_hp;basic_hp;basic_hp;basic_mr;basic_mr;basic_power;basic_as;basic_mr;basic_power;basic_armor;basic_hp;basic_haste;basic_as"
1,0,517,152,101,bot1_2,Cleric,1,SUPPORT,magical,2,5,16,3.6,11671,7177,12756,12718,15.9,28.2,267,312,64,52,12,45,3945,458,451,65,0.874,0.2,0.56,"basic_hp;basic_hp;special_gw;basic_mr;basic_mr;basic_hp;basic_hp;basic_armor;basic_haste;basic_mr;basic_armor;basic_haste;basic_hp"
1,0,517,152,101,bot0_3,Hana,0,TANK,magical,0,6,17,2.83,14620,9977,13639,0,23.1,0,430,602,19,51,11,163,3438,399,433,84,0.837,0,0.73,"special_gw;basic_hp;basic_mr;basic_hp;basic_mr;basic_hp;basic_power;basic_mr;basic_power;basic_haste;basic_hp"
1,0,517,152,101,bot1_3,Zephyr,1,SPLITPUSHER,magical,10,4,10,5,36669,21643,12911,703,47.3,1.5,630,887,59,57,14,335,5085,591,458,59,0.887,1.2,1.68,"special_lifesteal;basic_power;basic_power;basic_hp;basic_hp;basic_mr;basic_haste;basic_hp;basic_power;basic_mr;basic_hp;special_gw;basic_power;basic_hp;basic_haste"
1,0,517,152,101,bot0_4,Eggchanter,0,SUPPORT,magical,6,6,10,2.67,10659,7701,14204,7923,17.7,18.2,157,239,51,26,12,65,4165,484,436,81,0.843,0.7,0.54,"special_gw;basic_hp;basic_power;basic_hp;basic_hp;basic_mr;basic_haste;basic_mr;basic_power;basic_haste;basic_mr;basic_as;basic_power;basic_hp"
1,0,517,152,101,bot1_4,Healer,1,SUPPORT,magical,6,3,13,6.33,12009,8311,16186,13165,17.8,28.3,144,200,77,29,13,154,4554,529,466,51,0.902,0.7,0.51,"special_gw;basic_hp;basic_hp;basic_hp;basic_mr;basic_mr;basic_hp;basic_armor;basic_power;basic_mr;basic_armor;basic_haste;basic_mr;basic_power;basic_haste"
2,0,418,150,76,bot0_1,Goliath,0,TANK,physical,3,2,18,10.5,10595,4571,9410,2745,11.7,7,237,356,44,28,12,117,3817,547,391,27,0.935,0.4,0.49,"basic_hp;basic_hp;basic_hp;basic_mr;basic_armor;special_gw;basic_hp;basic_armor;basic_hp;basic_hp;basic_power;basic_mr"
2,0,418,150,76,bot1_1,Eggchanter,1,SUPPORT,magical,2,7,6,1.14,8361,4542,13764,7190,12.1,19.1,152,259,38,20,10,71,2996,430,376,42,0.9,0.3,0.33,"basic_hp;basic_hp;basic_armor;basic_mr;basic_haste;basic_hp;basic_power;basic_as;basic_armor;basic_armor;basic_mr"
2,0,418,150,76,bot0_2,Vanguard,0,FIGHTER,physical,8,1,21,29,25113,13455,8002,0,33,0,536,771,67,44,13,85,4735,679,408,11,0.974,1.1,1.68,"special_gw;basic_hp;basic_hp;basic_hp;basic_power;basic_power;basic_hp;basic_mr;basic_armor;basic_as;basic_hp;basic_armor;basic_armor;basic_hp;basic_hp"
