className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Eggchanter,65,22,43,33.8,1.83,1,7,4.78,6,9,9.52,10,21,5.29,1.83,22,6584.14,6492,12606,3856.49,3832,6526,9028.31,9293,17141,5282.54,5300,9828,12.53,12.4,17.3,17.01,17.4,29,135.68,133,262,209.45,204,358,32.37,32,55,16.54,16,33,9.55,10,13,150.03,158,347,2820.8,2797,4412,474.02,446,754,303.37,300,502,58.34,71,107,0.84,0.823,1,0.31,0.2,1.7,0.58,0.4,3.84
Jirina,75,41,34,54.7,3.92,4,11,3.24,3,8,9.44,10,19,9.1,5,29,12763.15,11972,30158,7490.49,7002,17119,8474.49,8159,16935,3810.73,3107,10437,23.25,22,38.5,11.67,10,26,430.81,431,712,540.08,532,885,39.75,39,78,15.28,13,36,9.88,10,14,168.19,157,387,3108.52,2971,5170,536.97,529,775,313.97,317,489,37.35,36,103,0.9,0.914,1,0.68,0.6,1.7,1.03,0.86,2.4
Ironclad,65,30,35,46.2,2.77,2,9,3.45,4,8,10.34,9,24,7.75,3.33,27,8981.25,8071,21154,5939.22,5794,12571,11294.32,11202,22099,0,0,0,18.14,17.9,33,0,0,0,340.09,339,452,463.4,463,694,31.98,32,59,23.22,22,45,9.85,10,14,161.15,146,354,3024.62,3096,5178,501.75,501,755,316.82,312,508,42.63,46,88,0.88,0.874,1,0.44,0.4,1.5,0.57,0.5,1.24
Summoner,43,18,25,41.9,3.67,3,11,4.7,6,9,10.37,12,20,6.49,2.33,25,8667.37,8132,17531,5140.35,5168,10857,6488.37,5974,12644,226.14,217,527,16.96,17.1,28,0.73,0.7,1.3,190.84,188,244,265.07,264,329,44.33,43,78,22,21,38,10.05,10,14,156.7,156,314,3143.91,3220,5243,534.35,507,823,295.44,298,453,60.02,66,119,0.83,0.811,1,0.61,0.5,1.5,0.99,0.74,4.5
Wanderer,50,30,20,60,4.8,4,14,4.5,5,10,10.6,11,22,7.25,4,26,18179.04,16987,37421,10396.56,9599,26689,7108.96,7475,13486,401.16,368,854,34.1,33.4,61.8,1.32,1.3,2.1,663.68,676,1011,1178.78,1170,2081,22.2,21,40,17.18,16,29,10.34,10,13,156.56,153,365,3349.56,3435,5288,576.24,612,797,296.6,288,485,56.5,63,134,0.85,0.841,1,0.83,0.7,1.9,1.62,1.49,3.63
Hana,77,39,38,50.6,3.7,3,10,3.86,4,9,10.97,12,24,8.57,3.75,30,11154.47,9856,22086,7495.74,6843,18471,10101.27,9825,19658,0,0,0,23.88,22.4,41,0,0,0,397.45,372,763,660.66,627,1307,14.39,14,29,37.34,37,58,9.94,10,13,152.14,147,398,3145.65,3200,4849,534.69,536,791,306.36,301,462,47.49,48,118,0.87,0.856,1,0.62,0.5,2,0.79,0.74,1.78
Lynx,45,28,17,62.2,7.31,7,18,4.13,3,10,9.29,9,21,7.2,5.6,27,16303.93,15305,34014,10272.29,10056,20095,6687.18,6295,12540,457.91,437,951,32.97,32.4,52,1.49,1.5,3.2,514.69,519,793,867.13,853,1230,54.42,55,77,39.98,40,56,10.73,11,14,172.04,178,371,3625.38,3700,5765,612.96,649,944,305.71,306,408,53.16,44,140,0.86,0.874,1,1.25,1.2,3.1,1.66,1.69,2.81
Zephyr,33,13,20,39.4,2.85,3,11,4.48,5,11,8.36,9,19,4.63,2.33,23,10391.21,9062,28233,5733.15,6092,12020,7475.73,7509,13593,289.12,284,729,18.99,18.2,33.8,0.95,0.9,1.5,390.45,367,580,506.27,472,800,33.58,31,64,33.61,32,78,9.48,9,13,143.64,156,284,2863.33,2761,4709,497.33,493,745,292.06,286,491,53.94,59,115,0.85,0.823,1,0.48,0.5,2,0.84,0.69,2.52
Kratoma,50,32,18,64,6.26,6,17,3.7,3,9,11.56,12,25,9.58,8.33,27,15492.72,14697,30117,9136.32,8747,18983,7098.14,7010,13284,415.94,413,936,28.71,28.1,44.8,1.31,1.3,2.3,304.92,297,440,609.26,590,1003,24.68,25,40,23.98,24,37,10.7,11,14,168.98,168,376,3618.98,3693,5598,614.76,630,862,310.7,309,479,48.54,43,131,0.87,0.907,1,1.07,0.9,2.9,1.47,1.46,3.69
Goliath,61,31,30,50.8,3.07,3,9,3.82,4,9,10.95,12,25,7.52,4.4,24,10093.08,8952,18397,6294.1,5844,11905,10839.23,10800,19067,2068.93,2071,4395,19.28,19.2,31,6.26,6.4,11.4,350.85,318,598,483.9,472,768,37.69,36,62,23.39,22,41,10.08,10,14,149.05,139,326,3135.11,2976,5372,518.16,519,701,317.7,309,496,44.72,44,124,0.88,0.886,1,0.5,0.5,1.4,0.62,0.61,1.38
Doctor,58,36,22,62.1,2.88,3,9,3.05,3,9,12.21,15,25,9.7,9,29,6508.14,6541,14317,4816.59,4987,9232,8317.53,7242,18505,8078.88,8590,19302,15.4,15.6,27.2,24.63,27,50.9,214.34,213,448,318.5,317,537,21.79,22,37,19.98,21,40,9.81,10,14,141.76,129,318,3027.53,3124,4694,537.62,557,762,304.88,300,511,34.19,24,103,0.9,0.934,1,0.51,0.5,1.4,0.62,0.6,1.38
Cleric,56,27,29,48.2,2.95,2,12,3.84,5,9,11.38,12,26,8.91,3,31,8642.71,8526,16835,5721.68,5321,12864,7198.61,7330,13096,5369.61,4514,13604,18.67,18.7,28,16.65,15.4,31,312.61,309,422,367.09,366,492,43.73,43,87,36.52,34,67,10.02,10,14,153.13,159,322,3065.18,3163,4918,530.14,521,805,300.32,305,506,44.21,53,115,0.87,0.871,1,0.5,0.4,1.7,0.96,0.75,3.19
Reaper,31,16,15,51.6,5.74,6,13,4.16,4,8,9.87,11,22,6.56,3.6,22,14689.1,13394,29288,9605.68,9104,22009,7508.16,7542,13133,452,447,953,29.77,27.8,55.5,1.39,1.4,2.4,546.13,482,1000,816.77,741,1419,38.77,39,66,20.19,20,32,10.45,10,14,162.65,164,378,3460.23,3547,5514,570.13,569,834,311.26,297,453,53.9,52,114,0.85,0.873,1,0.94,1,2.6,1.42,1.18,3.95
Quiller,53,28,25,52.8,6.09,6,16,4.36,5,9,10.45,11,21,8.1,4,31,18731.43,18237,34012,10431.57,9949,21408,6075.81,6025,10503,520.51,517,1248,32.26,31.3,49.3,1.61,1.5,3.2,288.83,285,432,576.81,581,963,45.77,45,72,27.7,27,46,10.83,11,14,175.13,182,389,3602.02,3608,5439,587.91,556,870,316.08,313,484,55.28,66,125,0.86,0.845,1,1.01,0.9,3.1,2.05,1.66,5.24
Bruiser,56,24,32,42.9,3.89,4,12,4.82,5,9,8.77,9,23,5.28,1.71,27,11118.89,10961,21908,6572.36,7028,15720,8575.11,8326,13736,274.91,288,741,20.11,20.9,33.1,0.85,0.9,1.8,327,318,641,520.59,517,935,46.07,47,76,34.54,35,59,9.88,10,14,143.27,132,340,3138.8,3220,5105,506.04,475,791,313.55,315,477,57.79,62,117,0.84,0.817,1,0.62,0.6,2.5,0.8,0.73,1.89
Jailer,64,30,34,46.9,4.08,4,15,4.5,5,9,9.91,10,26,6.39,2.67,26,12503.3,11524,22643,7849.61,7733,15005,9303.19,9395,16070,0,0,0,25.12,24.9,39.8,0,0,0,463.81,461,751,618.47,617,918,29.05,29,49,26.38,26,45,10.14,10,13,140.48,122,346,3207.28,3263,4952,537.77,526,866,302.19,311,432,56.45,62,119,0.84,0.826,1,0.68,0.6,3,0.95,0.84,2.23
Healer,56,30,26,53.6,3.09,3,8,3.73,4,9,12.89,16,26,9.03,5.8,27,8805.91,8621,15254,5810.93,5808,10782,8581.8,8615,16401,6495.77,5953,13571,17.79,18,24,19.33,20.3,31.4,159.14,157,201,213.25,214,267,52.43,52,89,19.39,19,36,10.38,10,14,172.25,179,337,3246.8,3239,5190,531.68,567,699,322.29,326,490,44.23,52,108,0.88,0.884,1,0.49,0.5,1.3,0.8,0.72,2.18
Tamer,28,18,10,64.3,5.61,6,11,4.86,5,10,11.04,13,21,6.92,5,22,16467.18,15541,30495,10026.54,9790,19033,6528.71,7315,12853,3706.71,3421,7491,32.27,32.4,48.1,11.98,12,18.4,326.18,328,555,541.32,516,884,39.64,39,75,13.5,13,25,10.89,11,14,168.75,161,329,3534.82,3537,4990,599.21,612,834,301.18,303,477,61.11,57,132,0.84,0.862,1,0.98,0.9,2.4,1.8,1.78,3.62
