className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Healer,28,19,9,67.9,3.32,3,8,2.68,2,8,12.93,15,24,11.98,11,25,6631.25,6680,12318,4197.71,4216,7161,6842.14,6770,17334,5359.57,4963,13118,14.24,14.4,22.1,18.08,17.3,38,151.93,149,190,210.46,207,260,44.07,45,66,13.39,13,25,9.96,10,12,155.75,164,334,3073.61,3214,4136,582.11,599,777,289.18,293,403,31.54,15,110,0.91,0.96,1,0.65,0.6,1.8,0.83,0.86,2.57
Quiller,44,20,24,45.5,4.48,4,15,4.8,5,10,9.23,8,25,5.9,2.33,33,13258.27,12439,29070,6795.68,6028,14967,6138.66,5726,13832,369.93,321,758,21.96,20.8,39.1,1.23,1.2,2.1,275.09,268,428,503.77,489,890,39.43,41,78,24.89,25,42,10.25,10,14,162.84,167,330,3225.34,3238,5645,543.73,530,882,295.2,283,460,56.91,57,139,0.84,0.824,1,0.73,0.6,3,1.39,0.97,8.5
Goliath,28,11,17,39.3,2.64,2,8,4.43,6,9,9.79,12,26,7.08,2.5,25,9373.93,9723,24648,5618.96,5399,14442,9824.82,9451,19630,1636.61,1828,3839,18.87,18.3,32.1,5.39,5.6,8.2,313.82,304,510,461.79,477,730,34.11,33,62,19.43,21,40,9.61,10,14,129.57,137,280,2872.43,3170,5542,514.57,505,754,283.36,304,484,49.71,61,118,0.84,0.848,1,0.45,0.4,1.6,0.63,0.57,1.88
Bruiser,30,14,16,46.7,3.97,3,15,4.07,5,8,9.3,9,26,7.94,1.8,28,11665.87,9504,33198,6396.37,5105,18411,7855.73,8204,14768,121.63,0,721,21.85,18.5,49.5,0.4,0,2.2,354.67,319,770,577.17,496,1339,40.63,39,69,30.83,30,53,9.87,10,14,166.97,170,374,3041.97,2927,5549,556.47,507,854,277.73,269,473,49.5,57,102,0.85,0.84,1,0.71,0.6,2.1,1.04,0.72,5.08
Oracle,33,20,13,60.6,4.21,4,12,3.45,3,8,12.09,13,27,9.06,8,24,13196.79,12514,23078,6776.21,6690,12864,6915.64,6977,12341,295.15,316,893,21.58,22.3,34.1,0.94,1.1,2.8,441.7,443,657,578.64,568,843,21.61,21,33,20.7,20,32,10.39,11,14,173.55,186,368,3309.91,3327,5099,581.27,615,782,301.85,291,427,42.76,39,122,0.88,0.907,1,0.74,0.8,1.9,1.32,1.02,7.96
Doctor,31,11,20,35.5,2.16,1,6,4.81,5,9,9.65,6,23,6.09,1,24,6337.55,5455,15011,4097.84,3602,8893,8733.32,7951,19670,5677.23,4458,18045,14.92,15.1,29.5,19.15,17,41.8,205.87,205,376,313.77,289,511,19.71,18,30,15.61,15,31,9.13,9,14,138.87,108,328,2705.81,2458,4947,504.97,463,773,262.68,262,444,56.94,60,119,0.82,0.787,1,0.39,0.2,1.4,0.65,0.37,4.08
Lynx,42,35,7,83.3,9.24,10,19,2.76,2,11,10.12,11,23,12.54,11,27,18784.57,18244,41423,11351.6,10626,27155,5517.19,4537,13286,333.31,417,1137,40.72,40.8,76.9,1.19,1.4,3.2,573.6,553,960,1002.05,949,1631,49.81,50,76,35.48,33,57,10.71,11,14,167.62,183,465,3705.12,3759,6540,735.83,783,1003,276.79,273,425,32.88,23,170,0.9,0.93,1,1.89,1.8,4,2.64,2.07,7.16
Kratoma,36,17,19,47.2,5.11,4,12,4.39,5,9,9.94,9,28,7.87,2.8,29,11397.86,11796,24669,6358.64,6669,12497,7332.11,7247,17406,231.39,234,575,22.33,21.7,39.3,0.8,0.9,1.9,261.06,266,379,494.89,467,867,20.67,22,35,20.11,21,36,10.17,10,14,127.78,146,323,3268.06,3436,5611,597.03,536,887,280.67,270,460,52.44,68,122,0.84,0.821,1,0.95,0.9,2.7,1.07,0.8,2.82
Mage,32,13,19,40.6,4.44,4,14,4.94,6,9,9.53,10,27,6.57,2.5,31,14276.88,13461,27546,7536.75,7173,14285,7299.66,7440,16004,290.94,285,637,25.53,25.9,42.9,1.01,1.1,1.8,521.19,551,847,677.91,723,1027,55.06,55,86,20.69,21,36,10.25,10,14,142.31,133,330,3226.69,3108,5313,562.19,540,854,282.81,299,414,65.69,82,132,0.82,0.773,1,0.78,0.6,2.4,1.42,0.99,5.56
Reaper,42,30,12,71.4,8.67,9,19,2.69,2,8,11.45,12,18,13.26,15,30,20482.07,21933,41791,12204.83,12253,28114,6399.1,6320,13890,513.02,537,1273,40.02,42.4,66,1.67,1.7,4.3,627.31,624,1064,1060.95,1043,2435,41.79,41,69,21.76,22,37,10.88,11,15,181.69,181,640,3798.36,3853,6640,693.62,708,960,301.76,300,469,34.71,23,112,0.91,0.95,1,1.6,1.6,3.6,2.71,2.09,9.35
