className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Ironclad,5,3,2,60,2.6,1,6,2.8,4,4,11.8,14,17,9.15,4,22,8103.2,9099,13307,4780.4,5464,7179,10409.2,9800,14777,0,0,0,14.56,15.8,19.6,0,0,0,302.4,350,380,410.8,410,551,31.8,32,49,20.4,25,28,10.2,11,12,201,234,337,3106,3435,3937,534,532,676,314.4,329,431,35.8,50,54,0.89,0.895,0.966,0.42,0.2,0.9,0.46,0.49,0.66
Doctor,4,3,1,75,4.75,5,7,1.25,1,4,15.5,17,21,16.88,22,23,6895.5,7537,9219,5357.5,5347,6683,8229,8284,12062,9608,10260,10331,18.18,19.6,20.7,32.83,37.4,38.7,199.25,231,284,320.25,370,443,22,23,33,20.5,24,25,10.5,12,12,131.25,153,219,3456.25,3828,4070,677.25,682,845,305,340,411,17.5,0,70,0.96,1,1,0.98,0.9,1.9,0.69,0.75,0.81
Jirina,5,4,1,80,3.8,3,6,2.2,1,6,12.4,13,18,11.9,13,20,11555.8,8648,17558,6568.2,6651,8122,6993.8,4756,12546,3040.4,2419,5760,22.7,21.8,30,9.5,9,12.9,395.8,394,441,511.6,521,550,36.8,30,55,12.8,11,22,10,10,12,114.8,64,222,3154.8,3301,3662,611.6,635,745,300.2,281,446,24.8,13,73,0.94,0.957,1,0.76,0.8,1.2,1.13,1.06,1.83
Lynx,4,1,3,25,3.5,6,7,5.25,7,7,5.25,8,9,2.73,3.2,7,11076.5,11031,19665,6923.75,6487,12956,7103.75,7492,10695,252,306,406,23.85,26.1,32.2,0.88,1,1.1,416.75,443,548,745.25,843,891,41,48,61,33.25,35,51,9,10,12,145.75,197,214,2758.25,3117,4155,494,518,637,264.75,268,402,67,79,94,0.79,0.835,0.914,0.57,0.9,1.2,1.03,1.21,1.76
Eggchanter,6,4,2,66.7,2.17,2,6,3.67,5,6,9.83,10,21,4.74,5,12,6551.83,6571,10851,3928.33,4999,5631,7113.83,8047,9462,5179.5,6082,8557,12.62,14.1,16.4,16.8,18.6,23.9,132.83,148,154,204.67,221,242,34.17,40,49,16.67,20,26,9.33,11,11,145.33,185,283,2812,3360,3572,494,533,594,296.17,352,413,47,59,72,0.86,0.883,1,0.37,0.4,0.9,1.19,0.62,4.68
Volstrov,4,1,3,25,3.75,5,6,3.75,5,6,8.25,13,14,6.34,3.6,19,13754.75,19147,21794,6893.5,9742,10815,6367.75,8423,9720,357.5,541,576,23.13,27.4,29.6,1.2,1.4,1.8,276.75,296,326,448.25,478,570,14.75,19,22,15.25,22,24,10.5,12,12,143.25,212,228,3093.25,3487,4092,580.75,532,864,278.75,329,395,55.5,72,86,0.84,0.836,1,0.75,0.8,1.7,1.38,1.28,2.76
Fusilier,7,7,0,100,8.29,8,11,2.43,0,7,10.29,12,14,12.15,10,22,20038.14,18186,28835,12230.57,10703,20557,4264.43,2142,8748,481.86,446,708,41.86,42.4,51.6,1.73,1.6,2.1,451.14,445,636,749.29,696,906,48.14,43,72,14.71,14,21,10.57,10,12,141.57,139,239,3584.43,3395,4539,740.14,709,944,283.86,252,433,21.14,0,68,0.95,1,1,1.77,1.8,2.6,3.57,4.15,5.05
Bruiser,4,0,4,0,2,2,4,4,4,7,5.25,5,15,2.4,1.75,6.33,9795.5,11022,18808,4861.75,5173,10269,8574.75,9350,13118,115.5,121,264,15.38,15.4,24,0.5,0.8,0.8,252.75,269,337,448.25,519,609,39.5,45,71,30.25,37,47,8.75,10,12,133,161,197,2539.25,2823,4011,455.75,475,500,282.5,337,429,48,57,58,0.84,0.891,0.896,0.33,0.5,0.5,0.52,0.55,0.78
Kratoma,1,1,0,100,7,7,7,1,1,1,14,14,14,21,21,21,14088,14088,14088,8405,8405,8405,4441,4441,4441,436,436,436,30,30,30,1.6,1.6,1.6,333,333,333,552,552,552,21,21,21,22,22,22,10,10,10,245,245,245,3520,3520,3520,719,719,719,280,280,280,14,14,14,0.95,0.953,0.953,1.4,1.4,1.4,1.89,1.89,1.89
Pyromancer,6,0,6,0,0.67,0,3,5.83,6,7,5.67,7,12,1.03,1.17,2.14,7806.67,6432,13384,4561.17,4645,7759,6439,5658,9274,101.83,92,192,19.53,19.3,29.1,0.43,0.5,0.7,381.17,407,489,539.17,609,665,20,22,29,14,14,20,8.17,8,11,189.33,206,226,2206,2076,3416,440.17,451,513,225,241,304,71.33,66,96,0.76,0.76,0.82,0.12,0,0.5,0.68,0.84,0.89
