className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Goliath,41,16,25,39,2.63,2,11,4.54,5,9,10.49,11,26,5.59,2.17,29,10413.44,10193,26230,5959.59,5773,15265,10476.88,10611,16828,1918.85,1767,4470,18.36,19.5,35.3,5.78,6,10.4,332.66,313,596,487.85,496,847,36.12,35,69,21.68,19,42,9.93,10,14,157.37,163,297,3026.27,3279,5530,499.02,486,724,304.49,305,499,52.41,49,105,0.85,0.825,1,0.39,0.4,1.4,0.65,0.5,2.73
Tamer,36,21,15,58.3,6.47,7,15,5.03,6,9,11.03,12,23,7.12,4.38,26,15123.08,14138,30024,8741.19,8412,16214,6586.17,7222,11590,3403.64,3083,6571,27.99,27.6,43.3,10.83,10.5,17.3,314.72,322,505,526.06,546,881,38.56,38,72,12.83,12,23,11.08,11,15,153.31,144,337,3733.86,3800,5883,608.31,621,883,305.22,293,467,65.97,69,140,0.83,0.83,1,1.05,1.1,2.8,1.65,1.52,4.15
Jailer,35,20,15,57.1,4.4,5,9,3.89,4,9,13.26,15,30,9.43,5.4,27,13964.09,13864,24903,8586.8,8463,18745,8161.14,8064,16058,0,0,0,26.23,27.7,39.7,0,0,0,463,446,773,605.46,576,961,29.66,30,51,26.97,28,48,10.57,11,14,164.34,147,424,3471.49,3574,5656,567.74,578,834,315.63,320,494,50.63,56,133,0.86,0.854,1,0.7,0.7,1.8,1.22,1.16,3.46
Oracle,31,14,17,45.2,4.26,4,12,4.42,6,8,8.68,9,23,7.07,2.67,24,12243.77,10034,29323,6766.16,6067,15661,7305.84,7398,13677,266.9,215,857,22.83,21.5,39.1,0.89,0.9,2.1,432.26,421,678,562.81,566,905,19.77,19,36,19.13,19,33,9.84,10,14,167.74,172,383,3073.39,3122,4808,558.26,506,895,281.13,261,459,53.55,57,110,0.84,0.791,1,0.78,0.6,2.3,1.16,0.84,5.56
Hana,34,21,13,61.8,5,5,14,3.29,3,8,13.03,15,21,10.69,11,28,13931.12,10826,35386,8872.91,6983,17604,8732.79,8397,14882,1.91,0,65,27.87,25.4,60.2,0.01,0,0.2,432.15,435,1045,754.09,775,1373,13.24,12,22,38.76,38,73,10.74,11,15,175.65,167,326,3493.29,3530,5454,597.76,625,838,309.71,305,479,43.62,29,109,0.88,0.922,1,0.85,0.9,2.2,1.17,1.1,2.82
Summoner,29,9,20,31,2.66,2,8,5.72,7,9,9.28,9,20,4.28,1.8,22,7034,6644,13034,3754.9,3639,9841,7382.72,7365,12096,185.79,167,400,12.85,12.7,27.2,0.62,0.6,1.5,176.28,175,218,247.41,244,302,39.03,38,63,19.66,19,32,9.83,10,12,161.62,143,294,2922.83,2963,4284,501.21,468,750,281.38,277,418,71.86,77,129,0.8,0.783,1,0.45,0.4,1,0.62,0.41,2.78
Jirina,30,22,8,73.3,4.7,5,11,2.17,2,7,14,15,25,13.12,11,31,14155.6,15147,21184,7814.83,7973,13036,6553.47,6550,13509,3539.93,3536,8209,24.8,22.7,46.3,10.94,10.8,19.7,423.13,389,669,554,507,898,39.63,41,62,14.5,14,25,10.7,11,14,167.1,189,301,3447.1,3543,4898,613.03,631,830,311.8,303,458,28.3,25,108,0.92,0.93,1,0.84,0.8,2.1,1.55,1.27,5.4
Fusilier,31,13,18,41.9,5.61,6,11,5.06,6,9,9.81,12,19,7.22,2.29,28,15251.65,14809,24853,8848.23,8990,14973,7395.9,7968,12630,370.29,401,892,29.4,29.4,46.9,1.22,1.4,2.8,384.42,384,521,625.81,625,863,44.16,44,72,14.32,14,26,10.58,11,14,141.29,132,290,3440.48,3475,5385,573.9,545,837,296.9,289,441,67.35,79,129,0.82,0.783,1,0.95,0.8,2.2,1.57,1.07,6.93
Zephyr,37,20,17,54.1,4.49,4,13,3.84,3,10,11.43,13,24,9.09,5.17,27,13113.68,12011,24681,7050.97,6732,14305,7335.62,7427,16689,298.76,249,725,23.31,20.6,44.4,0.96,1,2,390.95,401,613,554.81,556,926,35.54,34,56,34.19,30,61,10.19,11,13,153.76,154,310,3261.86,3410,5140,578.22,583,862,294.43,270,472,48.84,41,151,0.87,0.879,1,0.79,0.7,2.1,1.3,0.93,5.88
Cleric,28,17,11,60.7,3.46,3,9,3.46,3,7,12.18,13,22,9.4,6.67,27,7926.61,7680,17186,5003.96,4783,9256,7716.79,8911,15475,6085.61,5531,13480,16.26,16.8,23.7,19.46,19.5,36.7,311,320,403,368.61,372,440,43.11,42,76,35.07,36,67,10,10,13,157,160,321,3141.82,3196,4835,563.43,572,790,297.96,284,442,40.82,38,98,0.89,0.909,1,0.61,0.6,1.8,0.89,0.77,3.76
